"Belts","wax","index","N","values","sd","se","ci"
"Coastal","FAMEs","CPI",6,10.1931036561545,4.64302185406208,1.8955057345072,4.87255261046868
"Coastal","n-Alkanes","CPI",7,18.9894141894672,17.4380894359358,6.59097828394124,16.1275428736149
"Hyperarid Desert","FAMEs","CPI",5,8.70643124228708,2.49948863098252,1.11780529757296,3.10352504701061
"Hyperarid Desert","n-Alkanes","CPI",5,13.9847160623889,5.23212578150788,2.33987778285616,6.49654221697206
"Prepuna","FAMEs","CPI",9,9.67962503646395,5.3527120263314,1.78423734211047,4.11445868909243
"Prepuna","n-Alkanes","CPI",11,13.7649756041717,6.80043296773901,2.05040768781394,4.56859303162959
"Puna","FAMEs","CPI",8,8.49455235872308,3.91235919231487,1.38322785766169,3.27081413770555
"Puna","n-Alkanes","CPI",9,12.0333341328021,4.90571034820059,1.63523678273353,3.77086278302148
"Steppe","FAMEs","CPI",1,13.1419288001507,NA,NA,NA
"Steppe","n-Alkanes","CPI",2,12.575154962165,13.1845500282182,9.32288473184641,118.458482134598
"Surface Sediment","FAMEs","CPI",3,11.3669694627351,2.28487044551726,1.31917056678281,5.67593284017321
"Surface Sediment","n-Alkanes","CPI",6,8.76041685364162,3.18396036704844,1.29984637675222,3.34136148519694
