median,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C,N,CN,d13C,d15N,Wt,ACL,CPI
152,0,0,0.217917355371901,0,0,0,3.31898347107438,1.73312396694215,40.1604666808408,3.09255371900826,38.7622510586057,2.21407438016529,13.6785702479339,0,1.26919834710744,38.0796176655031,1.65176199654944,26.8850637864753,-24.2681608056745,4.60198178254568,104.44713922704982,30.29286096990305,20.484710521958597
394,0,0,0.880808870566494,0.194342170729974,3.62824294548298,1.20680218921032,19.2629305131682,7.51430272229725,164.173044641343,4.95180716468832,22.8731652155322,2.20437308977184,11.153516596773,0.414544388371597,0.49682635581775503,38.5180148220044,1.14286794753339,39.3037333569017,-23.3114709452898,3.9972638038615,238.95470686375293,29.14432790089402,20.71710326520754
972,0,0,0.674011959263758,0,1.43505559189012,0.697220405493787,15.9113239278707,7.69456694384752,309.145206951322,4.70357843595254,19.6778613472858,1.4447257778193,7.52340465290106,0,0,52.9798717502995,1.61165897688754,38.3357278080336,-21.6889639250417,8.0067599297226,368.90695599364653,29.078569420908003,36.55756185155625
1231,0.891909385113269,0.342880258899676,2.5789644012945,0.342880258899676,1.48300970873786,0.624757281553398,9.4775466516747,4.99279935275081,197.185821783035,4.58891585760518,31.9036932125327,2.09830097087379,9.40501618122977,0.347087378640777,0.615291262135922,28.1509449261987,1.79627990154387,18.276159020572,-25.4304177774647,8.09637440744029,266.878873944977,29.24229476983061,29.89100478451861
1599,0,1.04215215695686,5.52220855582888,0,2.92172856542869,1.21638867222656,17.3675118749861,7.64789404211916,151.745758471235,10.2679756404872,71.8795698021639,7.64353812923742,35.0542089158217,1.13580428391432,1.9917411651767,26.2749549475999,2.15062864073137,14.2476263335798,-24.4869844838107,10.2693223490129,315.4364802755824,29.718549254097237,15.93739627996029
1600,1.77236887409618,0.2769826695742,5.83264661999312,0.36424021576954,2.64094169631585,0.746892574314243,11.4704098296185,4.71270802249512,59.048602788008,6.19928841960289,49.4668092745221,4.96407379777344,22.7846264202915,0.840554344083554,1.2360151497762,35.5555653154594,2.15925072693908,19.2030616104361,-23.776422272712,6.53696287323806,172.35716069623442,29.803811249524944,13.355115291379516
2063,0.324109742441209,0.29578947368421,0.684406494960806,0.253309070548712,1.10606382978723,0.575058790593505,5.23965949393675,3.09320268756999,76.1177771230073,4.35424132138858,31.9884270271859,3.78232922732363,22.4445996640538,0.969182530795073,1.58829507278835,26.8572838103657,1.35263260558293,23.1551819630155,-23.0123384578599,4.4747200440595,152.81645155006507,29.979388901323365,17.114694444359916
3757,1.61812379110251,0.338152804642166,3.90253384912959,0.509316569954868,4.89695357833656,2.14330431979368,43.9918539104605,17.3201031592521,577.522470380413,12.2528207607995,55.5181509276866,3.63952611218569,11.2542263056093,0,0,49.1943988134288,4.31833395428824,13.2851173269115,-22.1361020764152,5.5944025040439,734.907536469366,29.035958942016144,29.15452992416827
4729,4.89309354947653,0.769193966002477,11.6713497692221,1.04712371946415,9.55075424969042,2.20643926601373,33.4697118090735,10.3054992682652,205.329433568362,11.4690645052347,96.5993169103007,8.05401328380052,39.5331701001914,1.52223910840932,1.6284813689069,39.5302146394429,1.11934794248989,41.1841425870823,-23.1696937077403,5.19492655645329,438.0488844424136,29.444677807628235,17.962278251705133
6441,0.29350197535232,0,1.32075888908544,0.316203785600566,4.48522908190342,2.30666607700926,60.6641016569373,17.4868801226487,274.318134913615,9.04018515242644,58.8074178902058,1.99370540715844,5.57491597381921,0,0,35.8824979263999,1.6880063996545,24.7898866673486,-22.4692007061924,5.2386331405085,436.60770092576183,28.9820342985212,19.514604810996577
