ID,ID_COD,ID_SAMPLE,Belts,Species,elevation,lat,lon,wax,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,abu_total,ACL,CPI
4,1-17 FAME,Alaysia desertica_3479m,Puna,Aloysia deserticola,3479,23.61002,67.87349,FAMEs,4.01507276507276,1.94906444906445,4.52182952182952,1.31237006237006,18.9059251559251,2.29989604989605,9.96621621621622,1.78014553014553,4.32692307692307,5.31444906444906,4.71673596673596,4.78170478170477,12.227130977131,5.80821205821203,9.34251559251558,3.44334719334719,5.28846153846153,179.15673420739,26.9440320962889,2.74847476428176
5,2-17 FAME,Alaysia desertica_3192m,Prepuna,Aloysia deserticola,3192,23.57637,67.89881,FAMEs,4.56645827670563,2.09296004349008,4.26746398477847,1.38624626257135,9.10573525414514,1.98423484642566,7.6651263930416,4.72954607230228,3.75101929872247,3.61511280239196,4.64800217450395,5.19162815982606,13.998369122044,8.07284588203316,13.4003805381898,4.15873878771407,7.36613210111443,277.601714354702,28.550566893424,2.10381978452497
6,3-17 FAME,Alaysia desertica_2940m,Prepuna,Aloysia deserticola,2940,23.56926,67.92184,FAMEs,5.36143464596042,1.24329820669255,0.892031798853763,4.29839156960621,8.31022370123869,1.49288223331485,6.23497873913847,6.01312627102977,3.08282492142725,5.09798484008135,6.16564984285448,2.48197448696617,9.55814383435015,6.83120724718062,10.9400998336107,6.58162322055835,15.4141246071362,189.709595959596,29.2460133147546,1.84025300032436
7,1-15 FAME,Atriplex imbricata_2940m,Prepuna,Atriplex imbricata,2940,23.56926,67.92184,FAMEs,1.23142143379848,0.0719170304574934,1.47745338010043,0.157712786090994,4.20020691917536,0.117338312851699,1.98339599788034,0.280097908097606,13.8534911302329,1.55820232657902,36.6600217012793,3.76113452269802,31.8365338514725,0.387342602639482,2.42373009664639,0,0,428.357946791693,28.1377148326421,15.0220132286069
8,3-15 FAME,Atriplex imbricata_2732m,Prepuna,Atriplex imbricata,2732,23.51726,67.97286,FAMEs,1.01811812359735,0.565360524854749,1.33794171234644,0.423042937685226,3.87619933845782,0.40505774809787,3.43751710547922,0.729573125434968,15.1654246459654,4.34459623249377,40.0412877395744,4.89353549729048,20.7689841495742,1.19640608994159,1.79695502920638,0,0,356.945878806487,27.781253733538,7.41240283879689
9,4-15 FAME,Atriplex sp_1990m,Hyperarid Desert,Atriplex imbricata,1990,22.7,69.19,FAMEs,0,0,19.1910405567033,0.929650973143416,29.0257692725888,1.73969772751985,10.2152875937806,1.91910405567033,14.3035772534522,1.69620528433184,7.59486789170381,1.34826573882788,6.7141459171469,0.918777862346416,4.4036098727846,0,0,64.2756704322132,25.0580091791438,10.7389443651926
10,4-16  FAME,Atriplex imbricata_3192m,Prepuna,Atriplex imbricata,3192,23.57637,67.89881,FAMEs,1.21486153796644,0.274550662139765,4.55975348769852,0.727106698633885,15.0017297697395,1.83838318824723,23.4625162920173,2.66203517466652,35.2000096545288,2.39754131333773,12.6615122210244,0,0,0,0,0,0,709.768785797086,25.0546400087607,12.8451960927249
11,5-16  FAME,Atriplex sp_2940m,Prepuna,Atriplex imbricata,2940,23.56926,67.92184,FAMEs,3.40388564207867,0.162340511416487,8.74357219326419,0.878393794204885,19.1456501518104,3.18099650748522,22.4407237754261,3.65046771617614,21.3920918233034,3.02567612629215,13.9762017585426,0,0,0,0,0,0,231.70106865759,24.7848476555373,8.25051188462566
12,6-16  FAME,Atriplex sp_2940m,Prepuna,Atriplex imbricata,2940,23.56926,67.92184,FAMEs,1.44020959778,0.207737444674403,3.56409242766008,0.751885527366308,18.3351549116728,1.82855459696611,14.4718585525041,1.92079622351929,17.7305459309041,2.29131300916991,27.8313916083375,0.8216481020704,7.19252145199174,0.238743033431776,1.37354758195165,0,0,290.467651816174,25.8894555700198,12.4935050758651
13,8-16  FAME,Atriplex imbricata_2350m,Hyperarid Desert,Atriplex imbricata,2350,22.87,68.3,FAMEs,0,0,0,2.31294628997206,10.1521266687364,1.42812791058678,9.31387767773983,1.59888233467867,23.1605091586464,4.50170754424094,36.9140018627756,10.6178205526234,0,0,0,0,0,22.256541011529,26.1834504293521,4.38323353293413
14,9-16  FAME,Atriplex imbricata_1722m,Hyperarid Desert,Atriplex imbricata,1722,22.85,69.26,FAMEs,0,0.444434340793617,5.97883537742818,0.423974447867056,12.090660058879,1.20486036123077,14.6526933175716,2.78254543801221,24.6666742444048,2.98828102799595,16.7100492174091,1.82206713118201,12.2554758630097,0.747922752537597,3.23152642167839,0,0,190.723638570933,26.2890082251376,9.07180281019291
15,9-15 FAME,"Cristeria integ._50,3",Coastal,Cristaria integerrima,50,22.09,70.16,FAMEs,11.0442183931907,1.68673448204276,14.5630060203447,2.66763545775379,14.0855304131202,2.4444675108989,12.8814614905543,3.02055221091966,12.6271538301848,2.2731990865684,10.2968652688395,1.87357276313058,4.61905750467095,1.76458376582935,4.15196180195142,0,0,91.1586559444381,25.6910554719986,5.79653284671533
16,11-17 FAME,Ephedra sp._933m,Coastal,Ephedra sp.,933,23.38,69.93,FAMEs,0.518388351951801,0.0640140579892053,0.410443077695494,0.0916279653570982,0.974017823522027,0.303752981046818,7.65030751851387,0.691602861804946,33.6111459771557,3.72160160662734,47.1507468306765,0.815865444960463,3.99648550269863,0,0,0,0,1615.36901865369,26.9754563294712,16.9150408348457
