idsample,SampleCode,14Cage,error,median,mean,sigma,Adesmia_sp,Baccharis_aff_tola,Brassicaceae_aff_mathewsia_nivea,Chenopodiaceae,Cistanthe_sp,Cristaria,Cryptantha_sp,Ephedra_breana,Fabiana_sp,Gilia_sp,Haplopappus_sp,Junellia_bryoides,Malvaceae,Phacelia_cuminingii,Phacelia_pinnatifida,Pappostipa_frigida,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C,N,CN, d13C,d15N
 7-7,CL2-QIN 208-B,180,15,152,162,88,0,0,0,0,3,0,3,1,0,1,2,5,0,1,3,0,0,0,0.217917355371901,0,0,0,3.31898347107438,1.73312396694215,40.1604666808408,3.09255371900826,38.7622510586057,2.21407438016529,13.6785702479339,0,1.26919834710744,38.0796176655031,1.65176199654944,26.8850637864753,-24.2681608056745,4.60198178254568
 2-4,CL26-QIN 256,345,15,394,387,39,1,0,0,0,4,0,1,3,0,2,0,5,0,2,0,0,0,0,0.880808870566494,0.194342170729974,3.62824294548298,1.20680218921032,19.2629305131682,7.51430272229725,164.173044641343,4.95180716468832,22.8731652155322,2.20437308977184,11.153516596773,0.414544388371597,0.496826355817755,38.5180148220044,1.14286794753339,39.3037333569017,-23.3114709452898,3.9972638038615
 4-4,CL18-QIN 237-B,1120,20,972,984,40,3,0,0,0,4,0,2,3,0,1,0,5,2,3,1,0,0,0,0.674011959263758,0,1.43505559189012,0.697220405493787,15.9113239278707,7.69456694384752,309.145206951322,4.70357843595254,19.6778613472858,1.4447257778193,7.52340465290106,0,0,52.9798717502995,1.61165897688754,38.3357278080336,-21.6889639250417,8.0067599297226
 1-4,CL1-QIN 208-A,1310,15,1231,1223,36,0,0,0,0,4,0,3,2,0,0,2,5,0,1,4,0,0.891909385113269,0.342880258899676,2.5789644012945,0.342880258899676,1.48300970873786,0.624757281553398,9.4775466516747,4.99279935275081,197.185821783035,4.58891585760518,31.9036932125327,2.09830097087379,9.40501618122977,0.347087378640777,0.615291262135922,28.1509449261987,1.79627990154387,18.276159020572,-25.4304177774647,8.09637440744029
 10-8,CL9-QIN 215-B,1740,15,1599,1610,43,3,0,0,5,0,0,0,1,0,0,2,4,4,0,0,0,0,1.04215215695686,5.52220855582888,0,2.92172856542869,1.21638867222656,17.3675118749861,7.64789404211916,151.745758471235,10.2679756404872,71.8795698021639,7.64353812923742,35.0542089158217,1.13580428391432,1.9917411651767,26.2749549475999,2.15062864073137,14.2476263335798,-24.4869844838107,10.2693223490129
 11-7,CL28-QIN 260-A,1740,15,1600,1611,43,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,1.77236887409618,0.2769826695742,5.83264661999312,0.36424021576954,2.64094169631585,0.746892574314243,11.4704098296185,4.71270802249512,59.048602788008,6.19928841960289,49.4668092745221,4.96407379777344,22.7846264202915,0.840554344083554,1.2360151497762,35.5555653154594,2.15925072693908,19.2030616104361,-23.776422272712,6.53696287323806
 9-8,CL17-QIN 237-A,2140,15,2063,2064,37,0,0,0,0,4,0,1,2,0,0,0,5,0,0,0,0,0.324109742441209,0.29578947368421,0.684406494960806,0.253309070548712,1.10606382978723,0.575058790593505,5.23965949393675,3.09320268756999,76.1177771230073,4.35424132138858,31.9884270271859,3.78232922732363,22.4445996640538,0.969182530795073,1.58829507278835,26.8572838103657,1.35263260558293,23.1551819630155,-23.0123384578599,4.4747200440595
 1-7,CL10-QIN 215-C,3515,15,3757,3757,48,0,0,0,0,4,3,0,3,2,2,0,5,5,3,1,0,1.61812379110251,0.338152804642166,3.90253384912959,0.509316569954868,4.89695357833656,2.14330431979368,43.9918539104605,17.3201031592521,577.522470380413,12.2528207607995,55.5181509276866,3.63952611218569,11.2542263056093,0,0,49.1943988134288,4.31833395428824,13.2851173269115,-22.1361020764152,5.5944025040439
 8-8,CL25-QIN 249-B,4230,20,4729,4729,66,1,0,0,0,0,0,0,3,0,1,0,5,0,0,0,0,4.89309354947653,0.769193966002477,11.6713497692221,1.04712371946415,9.55075424969042,2.20643926601373,33.4697118090735,10.3054992682652,205.329433568362,11.4690645052347,96.5993169103007,8.05401328380052,39.5331701001914,1.52223910840932,1.6284813689069,39.5302146394429,1.11934794248989,41.1841425870823,-23.1696937077403,5.19492655645329
 1-8,CL8-QIN 215-A,5700,20,6441,6441,44,0,0,0,0,5,2,1,2,0,0,0,1,4,2,2,0,0.29350197535232,0,1.32075888908544,0.316203785600566,4.48522908190342,2.30666607700926,60.6641016569373,17.4868801226487,274.318134913615,9.04018515242644,58.8074178902058,1.99370540715844,5.57491597381921,0,0,35.8824979263999,1.6880063996545,24.7898866673486,-22.4692007061924,5.2386331405085
 4-7,CL11-QIN 216,7895,20,8633,8652,66,0,0,0,0,4,0,0,0,0,1,0,0,1,5,0,0,0.33919810644097,0.414836465356477,0.667120929565342,0.418594893128676,1.70303758427772,0.961217902739923,19.5182136114325,8.34746808205422,435.315309636797,5.78656935877206,16.9530728897719,0.887458757710515,1.69270190790417,0,0,34.3554525516361,1.59068017480282,25.1871348323235,-21.3544144478688,8.01998394627605
 2-7,CL3-QIN 211,8210,25,9107,9122,74,1,0,0,0,0,3,1,5,0,0,0,3,0,0,0,0,0,0,0,0,4.36210240496509,1.45577967416602,19.9776958882855,5.22614429790535,46.4540341349884,3.08436772692009,8.85512024825446,0,0,0,0,38.0349170167433,2.03978275224256,21.7452557343363,-22.5205493948791,5.43395418090139
  4-8,CL12-QIN 217-1,8615,25,9539,9540,29,1,0,0,0,4,3,3,4,0,4,0,0,5,3,5,0,0.308939152596368,0.271169162153552,1.18927046830201,0.607225230965276,6.35116916215355,3.35765530423702,61.2412488383819,20.3560879260911,458.960467521952,10.3276712328767,22.0123403220618,1.66962726983116,4.37938196877987,0,0,27.451369351966,1.82227050178404,17.5677899364957,-22.3857209487402,6.56971633055673
 5-8,CL13-QIN 217-2,8980,25,10062,10074,91,3,0,0,0,4,0,1,0,3,5,0,0,1,0,4,0,0.402568127590104,0.319948511867387,0.846446063041567,0.435777973125706,2.80015697601406,1.66130227301268,27.9523843158828,10.5048411402738,209.354411756229,7.19033655657416,27.7433476398741,1.77308175310812,4.65585834484491,0,0,26.0962227451157,2.08303719727672,14.6098779207893,-24.3956343437993,7.73894149969446
 6-7,CL23-QIN 245-2,9125,25,10236,10241,33,1,0,0,0,3,0,1,3,0,0,0,5,1,3,1,1,0.290986041414316,0.230136413451001,0.908063678837169,0.4228269020015,3.2102079367826,1.36365576512661,29.5424943761897,11.742417950049,377.596125338871,7.25826844321394,47.7076685701102,2.23661388936956,9.57211455269078,0,0,35.8021914683202,2.25300053225747,18.5316580612209,-23.2454328158531,9.18054951035475
 7-4,CL16-QIN 220-A,9190,25,10299,10315,60,0,0,0,0,5,0,1,0,0,0,0,4,0,0,0,0,0,0,0.530901933541739,0.272467291883756,2.56095866620354,1.55645478754197,25.4495206973833,8.03836980433021,25.4495206973833,6.3404191270117,25.4495206973833,1.70145883987496,6.01883755933773,0,0,39.7894705516412,1.94391117787973,23.8702905334439,-22.1884072253915,8.86846076674019
 2-8,CL19-QIN 238,9565,25,10863,10884,126,4,3,3,0,3,2,0,3,0,0,0,1,0,5,3,4,0,0,0,0,6.58700696055684,2.63480278422274,38.9795823665893,10.6167053364269,124.881902552204,9.10556844547564,65.7538283062645,0,0,0,0,,,,,
 10-7,CL21-QIN 243-A,10015,25,11425,11445,110,1,0,0,0,1,0,0,3,0,0,4,0,0,5,3,0,0.412780333525014,0.288676442399847,1.1951744297489,0.466738547057696,2.8894623346751,0.868727237876174,12.96885662258,2.93532681617788,50.9149702894384,2.26084914701936,11.4391412689285,0,0.860633505846271,0,0,30.4220635351718,2.3724669415165,14.9538996213065,-22.7504836725011,5.92055585911369
 3-4,CL27-QIN 259,10105,25,11633,11587,125,5,0,0,0,1,0,0,0,0,0,0,0,0,3,1,4,0.412676720075401,0.701550424128181,0.962912346842601,0.571852026390198,2.06534872761546,0.919679547596607,12.8597146799203,5.32352968897267,144.335408247098,4.24074458058435,19.0248780642045,0.888237511781338,3.5509849198869,0,0,47.4303169347565,1.77730656696824,31.1214370648414,-21.2273539355588,7.47884002205743
 9-7,CL6-QIN 214-B,10175,25,11779,11771,68,1,0,0,0,3,0,0,3,0,0,0,3,2,4,2,5,0.407680639823497,0,1.66835461835462,0.542180406466121,5.34096482667911,1.77776634562349,38.3512495226781,10.3014277228563,895.640218083075,12.2917455131741,76.6725327761042,2.36594149094149,8.79196402053545,0,0,33.5815371007666,3.27751592787181,11.9487292830035,-23.1800229275572,4.01198776426146
 8-7,CL24-QIN 246,10200,25,11809,11809,53,4,0,1,0,0,0,0,1,0,0,0,2,0,0,0,5,0,0,2.15773696231443,1.33636277122193,6.29720213170917,1.94261515036163,26.4534640274077,6.46669204415683,56.1467929196803,4.19813475447278,14.6673962695089,0,0,0,0,49.2707288049336,2.13270033708061,26.9417071054806,-21.4258956465321,10.5195617973873
 3-8,CL15-QIN 219,10480,30,12343,12372,137,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0.285497996565541,0.27853463079565,1.61550085861477,0.528055237550086,5.47552661705781,2.48360045792788,46.1225559387026,18.9589238694906,315.692242836459,21.0572180881511,243.581594656584,10.3835389238695,65.7956825987407,1.750125930166,6.97265025758443,45.3633287734054,3.11113165327954,17.0040544862589,-23.7876651364966,7.05468639686423
 5-4,CL14-QIN 218,11035,30,12923,12929,62,,,,,,,,,,,,,,,,,0,0,0,0,0.964270340077486,0.396577701248386,9.39894532931554,3.72255703831253,61.2224868230638,6.10632802410676,85.6664466212385,2.93532070598364,19.581360309944,0,2.07382694791218,32.5034939940764,1.90156322819562,19.9335770653438,-22.0054878534471,8.90038831004019
 7-8,CL20-QIN 242,11705,35,13536,13532,45,0,0,0,0,3,0,0,3,0,0,0,0,1,5,0,0,0.485480086632174,0.250476777764409,0.725318854530141,0.351054325592588,3.30068433401516,1.57345836842739,17.4422917409768,9.0626173144026,275.712427608852,11.2114953074239,91.7920011947249,3.22718535675611,4.08596288051979,0.701141559379136,0.659556611719408,51.5832211469718,2.65991457888756,22.6155279333095,-21.4218947429736,8.0987922361931
 9-4,CL22-QIN 245-1,11950,30,13775,13776,98,2,0,0,0,1,0,0,4,0,0,0,5,0,0,0,3,0.164347435753563,0.181348894624621,0.548580406239479,0.296958814947817,2.35413533834586,0.877275277746606,13.5070923577601,6.19419818202222,63.5004488834025,4.81027942991808,14.0194029850746,0.521378072045786,1.04842329704859,0,0,38.6979285974602,2.06249468304894,21.8806814241085,-23.0603844454546,6.52568673495141
 5-7,CL4-QIN 213,12855,35,15298,15309,89,,,,,,,,,,,,,,,,,0.480055210489993,0.432211870255348,0.914699792960663,0.424102829537612,4.42023809523809,1.54233954451346,24.4017253278123,7.82035886818496,81.6431362555216,11.3494133885438,164.815374728538,8.31663216011042,43.0752242926156,1.24554865424431,4.46808143547274,46.7831340413821,2.06178971580755,26.4612834452904,-22.406462275321,5.32884294556587
 3-7,CL7-QIN 214-C,12920,35,15401,15405,87,1,0,0,4,3,0,0,2,0,2,1,3,2,3,0,5,0.675387476751395,0,1.82789832610043,0.762430254184749,10.0872907625542,3.1093614383137,47.8699502710689,16.5042777433354,233.799612193481,16.4140111593304,160.390349685402,7.71779293242406,30.7309361438314,0.92684438933664,2.22926224426534,45.0912772278493,2.65036055181198,19.8405423619392,-23.1989056617802,8.02396171477991
 6-8,CL5-QIN 214-A,14150,45,17187,17189,86,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0.062584907416023,0,0.146397444248007,0.052703079929283,0.554114326478707,0.289500946000434,5.00329288472128,1.86986135665767,25.3736281028397,1.97545051332155,17.4439941487703,0.885704537700443,3.32688192053596,0.079054619893924,0.379352377407649,39.0460923454118,1.653848995155,27.5326291457794,-23.8387669373675,6.96088550090654
